firstname,lastname,email,address,country,last_country_logged,creation_date,last_activity_date,age_group,id
Nancy,Golden,edwinalexander@singleton.info,"39345 Mendez Circle
East Joshua, ME 78930",ALB,ALB,12-15-2022 00:00:00,03-01-2023 00:31:11,1.0,2b7c594c-3873-4600-8eb9-133dfadcb8cc
Amber,Fernandez,colesarah@brown-maynard.biz,"98895 Smith Brook
Tracymouth, NH 97548",VNM,VNM,07-28-2022 00:00:00,03-02-2023 05:49:00,5.0,11e1bc96-3370-46e0-bc9b-91ddab0ded53
Walter,Mason,johnsonjohn@rivera-smith.info,"PSC 3031, Box 1892
APO AA 96519",JOR,JOR,07-09-2022 00:00:00,03-02-2023 10:46:26,7.0,29446e2a-d194-468f-a8a6-8f98d7345a05
Renee,Lozano,clinton05@davis-wallace.net,"9392 Jamie Crossing Apt. 960
East Elizabeth, ME 57758",ATG,ATG,01-04-2023 00:00:00,03-01-2023 15:05:48,8.0,405bc609-9691-4b47-9281-4fccaa0d0392
Hannah,Vaughn,wcabrera@brown.com,"PSC 1152, Box 4461
APO AP 59508",KHM,KHM,09-29-2021 00:00:00,03-02-2023 09:00:25,8.0,167a725e-c653-40d4-906c-6ac12806847d
John,Sanchez,clarkconnie@pham.info,"4624 Colton Hills Suite 573
New Gregoryfurt, KY 32467",NIC,NIC,09-12-2022 00:00:00,03-01-2023 08:06:38,1.0,da16aaa7-efb5-4bb4-bd10-8f4f62ca1e25
Danielle,Davidson,stephanie88@glover-cooley.com,"3792 Michael Passage Suite 503
East Jenniferberg, GA 10431",JPN,JPN,11-01-2022 00:00:00,03-01-2023 18:19:16,8.0,c2b16858-0752-4116-82bc-0448c37dea72
Patrick,Reyes,edward65@lyons.com,"939 Ryan Terrace
New Stanley, NH 22546",LCA,LCA,05-13-2022 00:00:00,03-01-2023 19:38:20,8.0,94bf6244-831e-4909-9566-e277f0aa8f65
Donald,Thomas,dorothy37@walker-coleman.com,"2885 Kelly Lakes
Brooksbury, MH 37195",TCD,TCD,09-20-2021 00:00:00,03-02-2023 12:41:59,3.0,282b7cb1-480a-45ae-be99-c9a6971b9417
Danny,Wilson,wmyers@park-green.net,"PSC 0895, Box 6374
APO AE 99272",COD,COD,06-28-2022 00:00:00,03-01-2023 14:36:06,9.0,7815b04f-d28d-4ba4-80e8-51cfb3236f99
