firstname,lastname,email,address,country,last_country_logged,creation_date,last_activity_date,age_group,id
Carlos,Jones,kimmichael@johnson.info,"Unit 5044 Box 3738
DPO AE 43819",SAU,SAU,05-22-2022 00:00:00,03-02-2023 07:59:30,2.0,85b1cef8-241f-457e-bb8d-5908e4686452
Chad,Jones,deanna37@martinez.info,"USS Becker
FPO AE 46952",NGA,NGA,09-20-2021 00:00:00,03-01-2023 06:01:01,6.0,1126dc8e-c981-40d6-8836-7ea3455270d5
Kimberly,Norman,ryan86@lewis-hamilton.com,"02618 Christine Manor Suite 159
Port Justinfurt, AS 86520",BOL,BOL,01-02-2023 00:00:00,03-01-2023 17:28:14,8.0,53be6a81-182e-424d-bb12-27d799fdb383
Adrian,Smith,allenchristine@mills.biz,"708 Douglas Meadow Suite 978
Josephberg, IA 33029",JOR,JOR,01-16-2023 00:00:00,03-02-2023 13:50:46,3.0,43db9065-6dc2-4597-823a-b58ac25291fe
Jonathan,Scott,carterjason@boone.com,"1615 Fitzgerald Rue Suite 141
Butlerville, KY 66545",MNG,MNG,01-23-2022 00:00:00,03-02-2023 09:13:23,4.0,6c1b5f92-073c-4d3c-9856-eadfe60de861
Stephanie,Crane,emma39@rubio.info,"5376 Dawn Glen Apt. 096
Port Nathanshire, PA 40170",YEM,YEM,06-18-2022 00:00:00,03-02-2023 00:54:28,7.0,4488792d-633f-46ec-9632-4afec12d3445
Billy,Williams,lgonzalez@khan-webb.info,"853 Sherry Views
Bushmouth, ME 48409",ESP,ESP,10-26-2021 00:00:00,03-02-2023 00:07:08,4.0,212e8607-12b2-49b2-9031-f554362b4999
Sheila,Crosby,mjenkins@chavez.com,"21315 Peterson Forest Apt. 865
Port April, CA 07770",PNG,PNG,07-19-2022 00:00:00,03-02-2023 13:10:08,0.0,d2e67cd1-60f0-410e-9315-43601f5cbeca
Bruce,Brown,abigailtaylor@lester-schmidt.net,"205 Chad Gateway Suite 495
Eriktown, OK 90677",LSO,LSO,11-16-2022 00:00:00,03-01-2023 00:17:40,7.0,38bc72d5-9832-403d-bfc7-b3409452f469
Randy,Foster,harrymann@nunez-watts.biz,"44677 Jonathan Cape
New April, CT 24512",SWZ,SWZ,04-01-2022 00:00:00,03-02-2023 11:10:41,7.0,d03f66f2-13e4-4d8a-a6dc-7d402a53009e
Nicholas,Bennett,nrodriguez@donaldson.com,"857 Gregory Neck
Christopherbury, MA 45935",BWA,BWA,02-04-2022 00:00:00,03-01-2023 17:24:04,3.0,58f1fee9-7d82-4e4c-996f-c404fe77738c
